name,country_iso2,date,latency_p20,latency_p50,latency_p80,download_p20,download_p50,download_p80,upload_p20,upload_p50,upload_p80,download,upload,latencyMs,iso_a2
Wisconsin,US,202506,36.37462615966797,30.51241683959961,26.41816520690918,89.55155944824219,170.88906860351562,253.8507843017578,14.815625190734863,20.249217987060547,26.942188262939453,170.88906860351562,20.249217987060547,30.51241683959961,US
Wyoming,US,202506,25.766036987304688,23.249744415283203,21.699493408203125,208.8671875,282.28826904296875,342.43670654296875,19.130468368530277,25.82532119750977,35.49296951293945,282.28826904296875,25.82532119750977,23.249744415283203,US
Alabama,US,202507,38.33291244506836,30.650074005126957,26.34998321533203,86.31953430175781,169.5007781982422,251.7640686035156,12.420312881469728,17.9765625,24.952342987060547,169.5007781982422,17.9765625,30.650074005126957,US
Alaska,US,202507,69.72044372558594,61.928321838378906,52.19977188110352,51.81328201293945,134.89297485351562,226.8929748535156,12.3515625,17.428905487060547,24.572656631469727,134.89297485351562,17.428905487060547,61.928321838378906,US
Arizona,US,202507,28.71753692626953,25.402687072753903,23.35465240478516,169.07421875,244.7359313964844,309.96954345703125,17.09375,23.192188262939453,31.0703125,244.7359313964844,23.192188262939453,25.402687072753903,US
Arkansas,US,202507,39.774112701416016,32.828670501708984,28.34852409362793,88.58906555175781,165.13436889648438,243.5257873535156,12.328906059265137,17.627344131469727,24.142969131469727,165.13436889648438,17.627344131469727,32.828670501708984,US
California,US,202507,28.34332656860352,24.930009841918945,22.97333526611328,170.5320281982422,249.70913696289065,317.7367248535156,17.54296875,23.829687118530277,31.341405868530277,249.70913696289065,23.829687118530277,24.930009841918945,US
Colorado,US,202507,26.456005096435547,23.69292640686035,22.023229598999023,197.5874938964844,271.9453125,332.3999938964844,18.435937881469727,25.072656631469727,32.75,271.9453125,25.072656631469727,23.69292640686035,US
Connecticut,US,202507,29.185178756713867,25.451736450195312,23.31263732910156,202.68508911132807,281.54217529296875,341.1304626464844,17.451562881469727,23.60546875,32.546875,281.54217529296875,23.60546875,25.451736450195312,US
Delaware,US,202507,30.014087677001957,27.18939971923828,25.39621353149414,139.7234344482422,208.5945281982422,278.0859375,16.182811737060547,22.393749237060547,29.346874237060547,208.5945281982422,22.393749237060547,27.18939971923828,US
District of Columbia,US,202507,47.09416961669922,36.89364242553711,29.32319641113281,141.6750030517578,206.0,267.34844970703125,13.43359375,19.032812118530277,25.888280868530277,206.0,19.032812118530277,36.89364242553711,US
